"行番号","原表現または1訳","問題点、疑問点","訳/対処","備考"
37,"syntax","1 訳どおり「構文」と訳した方が自然な気がする","#1 訳のまま","この章全体で 1 訳を尊重する"
41,"acclimatize → 順応する","訳が硬いが原文も硬い","#1 訳のまま",
49,"binary message → 2項演算子","二項メッセージと訳していない","#1 訳を尊重。ただし 2 → 二",
51,"message → メッセージ構文","syntax とは言っていない。補うならメッセージ送信かメッセージ式だと思う","メッセージ","原文では、これらは意図的に? 混同されている"
53,"message passing","terms-new に無い","メッセージパッシング",
65,"\includegraphics[width=0.95\textwidth]{message}","r: g: b: それぞれがセレクタであるような描き方","#訳注?",
88,"we will","\figref{ellipse} のことを言っている。過去形の方が適切","#段落の先頭に \figref{ellipse} 補い、全体を過去形にした",
89,"we will","\figref{ellipse} のことを言っている。過去形の方が適切","#段落の先頭に \figref{ellipse} 補い、全体を過去形にした",
98,"receive","send は機械的に「送信」としているが……","#1 訳のまま",
100,"object returned by the message send \ct{Pen new}","長い。139 行と同じ","\ct{Pen new} オブジェクト(\ct{Pen new} の結果として返されるオブジェクト)",
139,"object that results from the execution of the message send \ct{Pen new}","長過ぎ。100 行と同じ","\ct{Pen new} オブジェクト(\ct{Pen new} の結果として返されるオブジェクト)",
148,"messages consisting of operators","適切な表現ではない。かと言って良い訳も無い","#訳注?",
149,"messages consisting of one or more keywords","適切な表現ではない。かと言って良い訳も無い","#訳注?",
155,"messageName","selector ではないか、との指摘あり","selector",
179,"同値性のテストも、\st では単なる二項メッセージ","等値性と同一性の違いは、Basic Classes で初めて説明される","#1 訳のまま",
180,"two equal Fractions are not the same object","等値性と同一性の違いは、Basic Classes で初めて説明される","#1 訳のまま",
192,"method","ここでは message の方が適している?","メッセージ",
194,,"変","#意訳した",
195,,"変","#意訳した",
195,"Color.rgb","C++ では Color::rgbである。また Java でも C++ でも、この場合は普通コンスラクタを使う","#訳注?",
199,"""creates a new color""","Color red は新しい色を作る訳ではない、との指摘があるが……","""色オブジェクトを生成""","--> の左辺は新しい色を作る"
228,"color object → Colorオブジェクト","?","色オブジェクト",
239,"複合したメッセージ式","原文には無い","大概のメッセージ",
258,,"258 ~ 259 の流れが変?","#適当に誤魔化した",
259,,"259 ~ 259 の流れが変?","#適当に誤魔化した",
259,"bind",,"バインド",
276,"\ct{Color yellow} is sent","sent というより evaluated だろう","...送信(評価)され...",
376,"\ct{65@325} and \ct{134@100} that are sent first","sent というより evaluated だろう","...送信(評価)され...",
377,"object \ct{100} does not understand the message \ct{center}","解説が必要?","#訳注?",
393,"you already saw this behaviour","変?","#訳注?",
412,"extra parentheses are needed → 余計な括弧が必要となる","日本語としていいのか?","#1 訳のまま",
439,"correct result","曖昧","正しい(意図した)結果",
498,"Often beginners ... parentheses","訳しづらい","#意訳した",
503,,"何を言っているのか良くわからない (519 行で繰り返される)","#正しいと思われる訳を付けた",
504,,"何を言っているのか良くわからない (520 行で繰り返される)","#正しいと思われる訳を付けた",
539,"the collection","念のため","コレクション (ord)",
545,"(\ie an object)","解説が必要?","#訳注?",
584,"is equivalent to:","下手に訳すとレイアウトが乱れる","#そのまま",
595,"same receiver","少し不親切?","同じレシーバ(点オブジェクト)",
