"行番号","原表現または1訳","問題点、疑問点","訳/対処","備考"
49,"pidgin English","耳慣れない言葉","#訳注?",
57,"syntax only for \emph{sending messages} (\ie expressions)","メッセージ送信でない式もあるが","#訳注?",
59,"syntax","「構文」と訳した方が自然な気もする","文法","本章は terms-new に従う"
67,"following building blocks:","足りないものがあるようだ","#普通に訳した",
74,"messages","厳密にはmessage sendsだと思われる","メッセージ送信",
104,"binary messages","terms-new に無い","二項メッセージ",
108,"expression separator","Messages 563 行では \subind{statement}{separator}","#普通に訳した","どちらが正解かよくわからない"
118,"convention","場面に応じて訳語を選んだ方が良さそう","規約",
119,"argument","parameters では?","パラメータ",
152,"#(27 (true false) abc)","abc が #abc になることは自明ではない","#訳注?",
179,"first-class object","高度な術語","#訳注?",
198,,"わかりにくい","#意訳した",
203,"return (2 箇所)","良い訳が思い付かない","リターン",
206,"Sequences of statements","Messages 559 行では Expression sequences","#普通に訳した","どちらが正解かよくわからない"
206,"\emph{statement} \emphsubind{statement}{separator}","108 行では expression separator","#普通に訳した","どちらが正解かよくわからない"
240,"top frame","良い訳が思い付かない","トップフレーム",
242,"continuations","高度な術語","#訳注?",
315,,"メソッドを定義する式があるような書き方だが、それについてどこにも述べられていない",,
322,"convention","場面に応じて訳語を選んだ方が良さそう","習慣",
339,"name (\ie \ct{lineCount}) and any arguments","キーワードは?","#訳注?",
346,"returning some expression","returning some value では?","値を返",
346,"\ind{return}","良い日本語見出しが思い付かない","\ind{リターン}",
347,"\index{return!implicit}","良い日本語見出しが思い付かない","\index{リターン!暗黙}",
349,"Arguments","Parameters では?","パラメータ",
358,"return","良い訳が思い付かない","リターン",
358,"in which case it does not answer any value","どの場合? 訳さなくても意味は通じる","#訳さなかった",
379,"arguments","parameters では?","パラメータ",
386,"lexical \emph{closures}","高度な術語","#訳注?",
421,"booleans, numbers and collections","ブロックは?","#普通に訳した",
423,"boolean expression","terms-new に無い","真偽値を返す式",
453,"n > 1000","n >= 1000 では?","#そのまま",
483,"High-Order","高度な術語","#訳注?",
492,,"もう少しましな訳は無いか?",,"2 訳ではこれが限界"
512,"containing a subset","原文の誤り?","#正しいと思われる訳を付けた",
512,"the boolean block condition","真偽値を返すブロックの条件?","真偽値を返すブロック",
523,,"もう少しましな訳は無いか?",,"2 訳ではこれが限界"
546,"...","\ldotsの方がいいかも","#そのまま",
472,"result, n printString, ' ",", がセレクタだとわかるかどうか? 訳注してもうるさい?","#そのまま",
591,"#('hello' #hi)","#('hello' hi) でも同じ","#訳注?",
606,"hi' , ' there'",", がセレクタだとわかるかどうか? 訳注してもうるさい?","#そのまま",
616,"Expressions consist of message sends, cascades and assignments,","どういう意味?","#普通に訳した",
